"S.elev","S.lat","bs30","S.bs100","S.d.patch","S.pyro500","S.precc100","S.fir100","whr","site.code","fireID"
1.33534512260155,-1.3758884288059,44,0.0987123864648029,-0.460325546343221,0.364338378781529,-1.14731848639282,-0.307957976768277,"SMC","ALBA.RG01","ALBA"
1.31805775321895,-1.37480197649086,19,-0.650887479377222,-0.806906612257219,0.544395167455753,-0.355485670554414,-0.0725537679698478,"LPN","ALBA.RG02","ALBA"
1.3326712511543,-1.37364849852136,4,-0.845114656511754,-0.806906612257219,0.139267392938749,-0.765040392462175,-0.517839477500859,"LPN","ALBA.RG03","ALBA"
1.36594227710587,-1.3724069615033,39,-0.674016397170861,-0.63361607930022,-0.0407893957354755,-0.0966008824455045,0.266179746255604,"LPN","ALBA.RG04","ALBA"
1.39269244775421,-1.37129142196774,7,-0.931778432822858,-0.806906612257219,-0.412156522376062,0.0710105528726962,0.348211937388051,"LPN","ALBA.RG05","ALBA"
1.46147761889202,-1.37007754927496,0,-1.08950093247586,-0.806906612257219,-0.187085536533282,0.358448661576264,-0.212238694968926,"SMC","ALBA.RG06","ALBA"
1.49806177090419,-1.36891459240814,15,-0.944318207530253,-0.806906612257219,-0.220846184409699,0.136669003790919,0.0809864824791062,"LPN","ALBA.RG07","ALBA"
1.58947747184873,-1.36763957166259,18,-0.863506326082599,-0.806906612257219,0.0604925478937756,0.319919917418178,0.131348624052829,"SMC","ALBA.RG08","ALBA"
1.65505033127357,-1.36637948696572,1,-0.775449241470674,-0.806906612257219,-0.0914303675501009,0.543988008525662,0.652330962468414,"SMC","ALBA.RG09","ALBA"
1.73175859364066,-1.36521175937483,17,-0.449972422398746,-0.806906612257219,-0.485304592774966,0.0204292275203917,-0.163655014243791,"LPN","ALBA.RG10","ALBA"
1.74812259524841,-1.36397650245939,1,-1.04240711190809,-0.806906612257219,-0.687868480033468,0.265186056513089,-0.221503378994901,"LPN","ALBA.RG11","ALBA"
1.31770948547261,-1.37721144887732,0,-0.963267200421427,-0.806906612257219,0.161774491523027,-0.540251389580002,-0.287950292221688,"LPN","ALBA.RM01","ALBA"
1.42071654515891,-1.37668150960243,98,0.573830517044971,-0.419428980565369,2.4181111245969,-0.792053028598821,-0.380796744982713,"SMC","ALBA.RM02","ALBA"
1.47006975079191,-1.37735673975322,59,0.267302690864217,-0.182078713925266,1.4390523361808,-0.332788922214949,-0.312856715446548,"SMC","ALBA.RM03","ALBA"
1.4648434433616,-1.37800407386873,19,-0.517129882498348,-0.806906612257219,1.17459392781554,-0.691858577269848,-0.032326967078899,"SMC","ALBA.RM04","ALBA"
1.43431044344213,-1.37861630826982,21,-0.815576520534336,-0.806906612257219,0.46562032241078,-0.86425760798878,-0.074880430400567,"SMC","ALBA.RM05","ALBA"
1.49796095655656,-1.37897116670339,67,0.392143114617834,-0.460325546343221,-0.153324888656865,-0.970099819897361,-0.597255875377442,"NFR","ALBA.RM06","ALBA"
1.54205119499648,-1.37751364930851,50,0.223552810218419,-0.31678322154384,0.876374871573853,-0.35264857726732,-0.530040461215087,"NFR","ALBA.RM07","ALBA"
1.60019586998946,-1.37652350350402,62,0.0987123864648029,-0.287035013386222,2.103011744417,-0.649124855132643,-0.464301904121196,"NFR","ALBA.RM08","ALBA"
1.5545979988055,-1.37547411119179,5,-0.0910562041071001,-0.806906612257219,2.92452084274315,-0.191623252332227,-0.131151102012131,"NFR","ALBA.RM09","ALBA"
1.61687606205112,-1.37643490923798,98,1.10412365633768,-0.0716926444316575,3.40842346230513,-0.725645321809106,-0.417717546813254,"SMC","ALBA.RM10","ALBA"
-1.01188554710446,0.256499808287795,0,-0.416254361518863,-0.806906612257219,0.369965153427598,1.42941095457372,0.195039182783277,"SMC","AMER.KH01","AMER"
-1.04476706307657,0.257772906166659,18.19,-1.07640383444814,-0.806906612257219,-0.479677818128896,0.998162599188542,1.25537253867789,"SMC","AMER.KH02","AMER"
-1.02856803040129,0.258811489859864,100,0.352015835554171,-0.460325546343221,-0.0745500436118923,1.45936762279239,-0.418205589204007,"OTH","AMER.KH03","AMER"
-0.980811815684087,0.259720207927679,3.95,-1.08782896251488,-0.806906612257219,-0.181458761887213,1.32143927895873,-0.674823480396956,"SMC","AMER.KH04","AMER"
-0.981593126878184,0.26041934418712,0,-0.869915544266379,-0.806906612257219,-0.676614930741329,1.27328974821727,-0.24708752273615,"SMC","AMER.KH05","AMER"
-0.954643618769764,0.261586430659267,19.58,-0.845114656511754,-0.806906612257219,-0.614720409634565,1.31268481887034,-0.282505847374491,"SMC","AMER.KH06","AMER"
-0.925753434469553,0.262575966729205,9.26,-1.06442138306108,-0.806906612257219,-0.564079437819939,1.27328974821727,-0.373625346753278,"SMC","AMER.KH07","AMER"
-0.905739495230729,0.263783473162408,9,-0.709127766351565,-0.806906612257219,-0.676614930741329,0.816598743280024,-0.452259722419107,"SMC","AMER.KH08","AMER"
-0.872397440988787,0.264992597159891,27.89,-0.324017352004473,-0.63361607930022,-0.586586536404217,1.21054945032139,-0.197212739061751,"SMC","AMER.KH09","AMER"
-0.908754760718799,0.266120963584776,98.42,-0.310362930656421,-0.63361607930022,-0.0801768182579619,1.31254803050328,0.149220695332728,"SMC","AMER.KH10","AMER"
-1.10794787298047,0.253972076336378,53.15,0.802890401700043,-0.419428980565369,0.870748096927784,1.51695555596824,-0.371544492801118,"SMC","AMER.KS01","AMER"
-1.11745879018486,0.252711468225099,100,0.933025396996782,-0.31678322154384,0.144894167584818,1.52001049786833,-0.344393455674023,"SMC","AMER.KS02","AMER"
