"statistic","values"
"mu.cc",47.0838337525064
"sd.cc",42.8094238449153
"mu.precc",55.2360473544334
"sd.precc",21.9606748013791
"mu.elev",1715.25816755255
"sd.elev",391.873321096128
"mu.lat",38.9835636624604
"sd.lat",1.66761215737268
