"cc.raw","pyro.raw","patch.raw","precc.raw","elev.raw","lat.raw","whrtype","fir.raw"
12.82,7.92,0,62.94444444,2096.574,38.90722875,"SMC",47.4091666666667
93.12,6.04,150,58.55555556,2024.901,38.90970445,"SMC",25.9525
100,3.12,254.56,55.08823529,1974.652,38.911863705,"SMC",13.4279411764706
59.85,2.16,30,54.17647059,2033.798,38.891484354,"SMC",15.1741176470588
100,2.16,201.25,63.64864865,2069.115,38.891178512,"SMC",28.2245945945946
100,1.46,342.05,66.2,2050.698,38.888932141,"SMC",32.9308571428571
100,1.18,499.3,59.6,2028.766,38.886703183,"JPN",16.1222857142857
100,1.42,403.61,53.91176471,1991.094,38.884490809,"JPN",15.4055882352941
99.86,1.6,276.59,54.91428571,1967.244,38.882230517,"JPN",14.8808571428571
100,1.55,270,56.68571429,1969.661,38.880111963,"JPN",12.4654285714286
100,1.58,342.05,56.5,1966.601,38.877939946,"LPN",26.7388235294118
100,1.22,421.07,49.64864865,1972.799,38.876343153,"LPN",23.6840540540541
11.74,4.39,0,41.71428571,1527.579,37.3406594681,"PPN",1.12942857142857
3.79,5.26,0,57.09375,1494.94,37.3426397196,"HRD",0.7290625
28.91,4.2,0,44.82857143,1516.626,37.3447534446,"PPN",0.142857142857143
57.47,4.45,42.43,43.94594595,1512.195,37.3452188626,"PPN",0.344324324324324
63.24,5.97,0,26.78378378,1507.086,37.3438608804,"PPN",0.0940540540540541
29.86,5.45,30,33.21621622,1508.539,37.3425515966,"NFR",0.153513513513513
20.31,4.33,0,39.22857143,1518.136,37.3407143533,"NFR",0.0102857142857143
26.52,3.76,30,30.14705882,1499.716,37.3384111307,"NFR",0
14.03,3.77,0,45.20588235,1455.399,37.3364971876,"HRD",0
7.74,3.58,0,56.37142857,1418.522,37.3349931266,"HRD",0
34.71,5.73,30,51.54285714,1547.091,37.3391530651,"PPN",0.864857142857143
58.42,4.91,42.43,47.17142857,1541.05,37.3388457782,"SMC",2.54142857142857
75.68,6.09,84.85,56.14285714,1536.542,37.3384282924,"SMC",5.18542857142857
61.08,5.01,60,59.28125,1546.545,37.3364401142,"PPN",5.73625
17.23,4.69,30,59.08571429,1555.519,37.3357686557,"SMC",5.32885714285714
6.14,3.81,0,52.91666667,1570.253,37.3345592572,"SMC",2.09583333333333
12.84,3.49,0,50.74285714,1636.115,37.3361153569,"NFR",1.15228571428571
4.97,2.91,0,58.45714286,1638.959,37.335683092,"SMC",0.956571428571429
31.48,2.7,42.43,57.02857143,1663.163,37.3351776263,"NFR",1.26428571428571
59.91,4.07,42.43,38.31428571,2184.561,37.939027225,"NFR",0.107142857142857
46.21,4.43,0,46.84375,2208.479,37.938209571,"NFR",0.668125
99,5.25,174.93,36.32352941,2235.366,37.937253089,"NFR",0.107352941176471
96.94,5.78,150,41.17142857,2259.98,37.936373561,"NFR",0.442571428571429
27.09,3.85,60,42.5,2195.81,37.936136304,"NFR",0.367777777777778
78.41,4.22,108.17,45.54285714,2206.583,37.936929582,"NFR",1.43342857142857
77.36,3.51,67.08,43.54285714,2196.498,37.938314787,"NFR",0.585142857142857
51.32,4.64,60,32.58333333,2210.116,37.934606416,"NFR",0.349722222222222
44.95,8.62,30,33.6,1387.099,40.887939085,"EPN",0.068
35.5,8.31,0,37.40540541,1381.104,40.8873261803,"EPN",0
33.22,8.15,30,37.58823529,1396.529,40.8848485672,"EPN",0
26.67,6.32,30,36.82857143,1404.495,40.8853060436,"EPN",0.136
15.88,4.38,0,34.15625,1395.241,40.8865120454,"EPN",0
30.25,3.86,30,41.52777778,1379.053,40.8886774286,"EPN",0
8.22,4.34,0,37.88888889,1362.572,40.8910142854,"EPN",0.0661111111111111
15.48,6.07,0,27.71875,1354.113,40.8936818718,"OTH",0
17.55,5.67,0,29.90625,1339.571,40.8957831201,"OTH",0.14875
15.89,3.83,0,26.8,1332.56,40.8959240673,"OTH",0
37.63,7.9,30,30.62162162,1367.596,40.8895708188,"EPN",0.257297297297297
76.8,6.66,30,18.21621622,1360.676,40.889167263,"EPN",0.257297297297297
31.85,5.63,0,27.18918919,1367.737,40.8872103879,"NFR",0
40.25,5.21,0,11.85714286,1361.344,40.8887070932,"NFR",0.134857142857143
51.42,5.81,30,27.03125,1350.538,40.8893596441,"NFR",0
44.91,6.07,30,26.6,1327.274,40.8880656883,"NFR",0.408
19.94,6.97,0,26.61111111,1339.445,40.8897142181,"NFR",0.132222222222222
63.48,4.72,0,15.125,1342.485,40.8925131488,"OTH",0
98.17,3.32,150,20.5,1351.769,40.8923712592,"EPN",0.14875
46.69,5.25,0,19,1367.057,40.8898958409,"NFR",0
99.16,2.5,134.16,44.31428571,1608.109,41.9023562556,"EPN",0.0477142857142857
77.81,1.64,150,46.71875,1615.263,41.904747234,"EPN",0.20875
95.98,1.58,402.49,51.53125,1623.875,41.9070269912,"EPN",0.3653125
98.9,2.05,189.74,41.68571429,1637.563,41.9093917674,"EPN",2.11457142857143
100,2.89,152.97,45.48648649,1638.561,41.9100135135,"EPN",0.180540540540541
51.39,3.31,30,45.77142857,1638.889,41.9098310211,"EPN",0.0762857142857143
5.43,3.7,0,53.36111111,1640.447,41.9098929275,"EPN",0.0327777777777778
77.44,3.61,123.69,41.5,1637.393,41.9099704728,"EPN",0
99.9,2.99,212.13,32.17142857,1631.823,41.910120921,"EPN",0.922571428571428
83.68,2.63,108.17,36.31428571,1636.598,41.9101215338,"EPN",0.486857142857143
81.55,4.3,67.08,25.5625,1602.239,41.8996440927,"EPN",0.6840625
51.71,5.78,0,12.03125,1595.448,41.8976593529,"EPN",0
26.78,5.6,0,3.15625,1588.574,41.8962855916,"NFR",0
73.57,4.68,60,20.14285714,1589.587,41.8942765143,"EPN",0.032
95.17,5.48,150,38.77142857,1589.857,41.892385636,"EPN",0.0762857142857143
61.61,5.28,30,37.52777778,1586.886,41.8900622795,"EPN",0
12.82,3.48,0,25.61111111,1591.181,41.8876793119,"EPN",0
9.35,3.61,30,40.28571429,1593.91,41.8855075284,"EPN",0.0477142857142857
47.11,4.58,42.43,32.11111111,1589.647,41.88369353,"EPN",0.606111111111111
77.64,3.59,67.08,32.28571429,1590.825,41.8813927335,"EPN",1.31085714285714
3.59,1.47,0,38.78125,1703.509,40.0412602923,"SMC",5.5859375
2.42,1.82,0,37.82352941,1690.643,40.039695538,"SMC",4.38647058823529
5.75,2.31,0,30.31428571,1665.255,40.0390484433,"SMC",0.4
5.87,2.13,0,40.74285714,1619.092,40.0381849762,"SMC",1.96142857142857
28.98,2.75,0,23.88235294,1584.026,40.0371441576,"SMC",2.18
12.17,3.25,0,40.77142857,1576.554,40.0363957893,"SMC",7.06857142857143
11.07,2.34,0,37.94285714,1623.359,40.0385437009,"SMC",8.27771428571429
8.86,1.89,0,40.59459459,1656.328,40.0400316167,"SMC",7.37108108108108
2.3,1.74,0,26.6,1784.588,40.0409876342,"SMC",2.79828571428571
2.65,3.54,0,38.84375,1776.108,40.0388028134,"SMC",4.3534375
85.76,5.85,120,36.62857143,1780.583,40.0366508918,"SMC",5.90257142857143
57.73,6.24,84.85,23,1775.004,40.0356907588,"SMC",1.128
